,Description,Assignment group,nndes,mldes
4042,vpn fcvqezmn frzyjknu,GRP_31,vpn fcvqezmn frzyjknu,vpn fcvqezmn frzyjknu
4043,name srinfhyath languag browser microsoft internet explor custom number telephon summari chang password outllok kflqpite gbeoqsnc,GRP_0,name srinfhyath languag browser microsoft internet explor custom number telephon summari chang password outllok kflqpite gbeoqsnc,name srinfhyath languag browser microsoft internet explor custom number telephon summari chang password outllok kflqpite gbeoqsnc
4044,time card automat gener spxqmiry zpwgoqju,Manual,time card automat gener spxqmiry zpwgoqju,time card automat gener spxqmiry zpwgoqju
4045,receiv mention apprentic unabl login desktop plea reset password emp name useid cheghthan achghar vvdgtyachac badnzyue nxuqmdwl,GRP_0,receiv mention apprentic unabl login desktop plea reset password emp name useid cheghthan achghar vvdgtyachac badnzyue nxuqmdwl,receiv mention apprentic unabl login desktop plea reset password emp name useid cheghthan achghar vvdgtyachac badnzyue nxuqmdwl
4046,connect set view brand languag pfiyvdea uwbdsfmr,GRP_31,connect set view brand languag pfiyvdea uwbdsfmr,connect set view brand languag pfiyvdea uwbdsfmr
4047,erp sid account lock tauogwvl xfvqakdw,GRP_0,erp sid account lock tauogwvl xfvqakdw,erp sid account lock tauogwvl xfvqakdw
4048,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,GRP_10,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,receiv job payrol fail job schedul bpctwhsn kzqsbmtp
4049,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,GRP_10,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,receiv job payrol fail job schedul bpctwhsn kzqsbmtp
4050,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,GRP_10,receiv job payrol fail job schedul bpctwhsn kzqsbmtp,receiv job payrol fail job schedul bpctwhsn kzqsbmtp
4051,reset password receiv team kindli plea assist reset sid password user kassia hydstheud mddwwyleh oper supervisor compani distribut servic asia pte ltd email rxoynvgi ntgdsehl,GRP_0,reset password receiv team kindli plea assist reset sid password user kassia hydstheud mddwwyleh oper supervisor compani distribut servic asia pte ltd email rxoynvgi ntgdsehl,reset password receiv team kindli plea assist reset sid password user kassia hydstheud mddwwyleh oper supervisor compani distribut servic asia pte ltd email rxoynvgi ntgdsehl
4052,receiv job bkwin hostnam inc fail job schedul bpctwhsn kzqsbmtp,GRP_8,receiv job bkwin hostnam inc fail job schedul bpctwhsn kzqsbmtp,receiv job bkwin hostnam inc fail job schedul bpctwhsn kzqsbmtp
4053,connect mobil hotspot csotmdiw yfeqcbti,GRP_0,connect mobil hotspot csotmdiw yfeqcbti,connect mobil hotspot csotmdiw yfeqcbti
4054, napijrez xhpqkojc,GRP_31, napijrez xhpqkojc, napijrez xhpqkojc
4055,reset password jerydwbn gdylnau use password manag tool password reset  jerydwbn gdylnaue,GRP_17,reset password jerydwbn gdylnau use password manag tool password reset  jerydwbn gdylnaue,reset password jerydwbn gdylnau use password manag tool password reset  jerydwbn gdylnaue
4056,unabl login microsoft account need password qcxivzag vyucbagx,GRP_0,unabl login microsoft account need password qcxivzag vyucbagx,unabl login microsoft account need password qcxivzag vyucbagx
4057,inquiri erp avail lsnpgqea hzeausvl,GRP_0,inquiri erp avail lsnpgqea hzeausvl,inquiri erp avail lsnpgqea hzeausvl
4058,volum label oraarch server lhqsid space consum space avail uvrbhlnt bjrmalzi,GRP_1,volum label oraarch server lhqsid space consum space avail uvrbhlnt bjrmalzi,volum label oraarch server lhqsid space consum space avail uvrbhlnt bjrmalzi
4059,circuit outag mbp internet link telecom vendor circuit compani ind india dmvpn rtr compani com sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye ye backup circuit activ primari activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost jyoqwxhz clhxsoqy,GRP_8,circuit outag mbp internet link telecom vendor circuit compani ind india dmvpn rtr compani com sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye ye backup circuit activ primari activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost jyoqwxhz clhxsoqy,circuit outag mbp internet link telecom vendor circuit compani ind india dmvpn rtr compani com sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye ye backup circuit activ primari activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost jyoqwxhz clhxsoqy
4060,unabl login system amiodlfy gmcoruwp,GRP_0,unabl login system amiodlfy gmcoruwp,unabl login system amiodlfy gmcoruwp
4061,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4062,receiv job bkbackup tool csqe prod inc fail job schedul bpctwhsn kzqsbmtp,GRP_8,receiv job bkbackup tool csqe prod inc fail job schedul bpctwhsn kzqsbmtp,receiv job bkbackup tool csqe prod inc fail job schedul bpctwhsn kzqsbmtp
4063,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_6,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4064,receiv dear sir erp password block request kindli set password employe code login achghyardr rhwvpmlq zuwhpqrc,GRP_0,receiv dear sir erp password block request kindli set password employe code login achghyardr rhwvpmlq zuwhpqrc,receiv dear sir erp password block request kindli set password employe code login achghyardr rhwvpmlq zuwhpqrc
4065,reset password dmexgspl mruzqhac use password manag tool password reset ,GRP_17,reset password dmexgspl mruzqhac use password manag tool password reset ,reset password dmexgspl mruzqhac use password manag tool password reset 
4066,receiv job snp heu regen fail job schedul bpctwhsn kzqsbmtp,GRP_6,receiv job snp heu regen fail job schedul bpctwhsn kzqsbmtp,receiv job snp heu regen fail job schedul bpctwhsn kzqsbmtp
4067,skype person certif issu wauhocsk vxuikqaf,GRP_0,skype person certif issu wauhocsk vxuikqaf,skype person certif issu wauhocsk vxuikqaf
4068,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4069,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4070,use outlook group receiv best bmudkpie qolrvbip,GRP_0,use outlook group receiv best bmudkpie qolrvbip,use outlook group receiv best bmudkpie qolrvbip
4071,abend batch job job job name job oldrctiu bxurpsyi,GRP_8,abend batch job job job name job oldrctiu bxurpsyi,abend batch job job job name job oldrctiu bxurpsyi
4072,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4073,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4074,ooo engin tool receiv witam aszam opoti engin tool cid imag png sid nie zrobi synchronizacji brak raport itp pozdrawiam best wsczgfal hjfklsdg,GRP_0,ooo engin tool receiv witam aszam opoti engin tool cid imag png sid nie zrobi synchronizacji brak raport itp pozdrawiam best wsczgfal hjfklsdg,ooo engin tool receiv witam aszam opoti engin tool cid imag png sid nie zrobi synchronizacji brak raport itp pozdrawiam best wsczgfal hjfklsdg
4075,erp sid account lock password reset incjpxsq gdxbvaqz,GRP_0,erp sid account lock password reset incjpxsq gdxbvaqz,erp sid account lock password reset incjpxsq gdxbvaqz
4076,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4077,power outag south amerirtca site hard sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye backup circuit activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost oldrctiu bxurpsyi,GRP_8,power outag south amerirtca site hard sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye backup circuit activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost oldrctiu bxurpsyi,power outag south amerirtca site hard sinc type outag network circuit power plea specifi type outag top cert site ye start schedul mainten power ye compani power provid power schedul mainten network ye compani maint ye provid maint ticket site backup circuit ye backup circuit activ ye site contact notifi phone email ye remot dial ye equip reset ye verifi site work backup circuit ye vendor ticket global telecom verizon telecom vendor telecom vendor notifi gsc ye cert start ye addit diagnost oldrctiu bxurpsyi
4078,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4079,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4080,receiv job tool netch keheu fail job schedul bpctwhsn kzqsbmtp,GRP_8,receiv job tool netch keheu fail job schedul bpctwhsn kzqsbmtp,receiv job tool netch keheu fail job schedul bpctwhsn kzqsbmtp
4081,skype login issu person certif issu summari skype busi cannot login error messag problem acquir person certif requir sign plea help solv hbodpniz jvqpxohl,GRP_0,skype login issu person certif issu summari skype busi cannot login error messag problem acquir person certif requir sign plea help solv hbodpniz jvqpxohl,skype login issu person certif issu summari skype busi cannot login error messag problem acquir person certif requir sign plea help solv hbodpniz jvqpxohl
4082,apac compani fastethernet uplink compani chn apac access sinc apac compani compani chn apac shop closet access compani com fastethernet uplink compani chn apac access sinc oldrctiu bxurpsyi,GRP_4,apac compani fastethernet uplink compani chn apac access sinc apac compani compani chn apac shop closet access compani com fastethernet uplink compani chn apac access sinc oldrctiu bxurpsyi,apac compani fastethernet uplink compani chn apac access sinc apac compani compani chn apac shop closet access compani com fastethernet uplink compani chn apac access sinc oldrctiu bxurpsyi
4083,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_9,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4084,receiv job val updat crosscomp fail job schedul bpctwhsn kzqsbmtp,GRP_10,receiv job val updat crosscomp fail job schedul bpctwhsn kzqsbmtp,receiv job val updat crosscomp fail job schedul bpctwhsn kzqsbmtp
4085,erp run slow sinc last hour israel internet work fine erp run slow sinc last hour internet work fine transact run slow contact erp system sid transact check dac team issu dac team check util dac confirm util high sinc last half hour call erp basi call support call support wqfzjycu omleknjd,GRP_14,erp run slow sinc last hour israel internet work fine erp run slow sinc last hour internet work fine transact run slow contact erp system sid transact check dac team issu dac team check util dac confirm util high sinc last half hour call erp basi call support call support wqfzjycu omleknjd,erp run slow sinc last hour israel internet work fine erp run slow sinc last hour internet work fine transact run slow contact erp system sid transact check dac team issu dac team check util dac confirm util high sinc last half hour call erp basi call support call support wqfzjycu omleknjd
4086,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_8,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
4087,secur incid magento sql inject sourc system name whqsm refer compani com user name locat dmz sep sm statu field sale user ye dsw event log see ctoc receiv least occurr vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound cve alert isensor devic isenspl compani com traffic block sourc port tcp dalla usa destin port tcp usa usa occur indic extern host possibl sourc attempt discov public face server includ vulner magento mage adminhtml block widget grid getcsvfil sql inject vulner describ cve ticket effect serv master ticket relat alert receiv feedback handl event go forward plea let know either correspond via ticket deleg ticket back ctoc call number option avail handl futur alert one autoresolv alert directli portal explicit notif event avail report purpos portal like best choic run applic target ticket escal via medium prioriti ticket phone call uniqu sourc address alert may gener rel larg volum incid ticket full escal via high prioriti ticket phone call uniqu sourc address would recommend option sinc exploit code wild mere identifi sourc attack may use alway run report portal identifi list attack instead would recommend audit environ vulner system updat necessari complet could option suppress alert event sincer ctoc technic detail vulner exist magento due insuffici input valid within mage adminhtml block widget grid getcsvfil function remot attack could exploit vulner conduct sql inject attack vulner system magento eusa platform vulner exist magento commstorag product edit version version version version version version magento enterpris edit version prior due insuffici input valid user control suppli via popular field expr paramdntyet popular popular paramdntyet set properli sanit illeg malici content mage adminhtml block widget grid getcsvfil function prior store fieldnam variabl use sql queri remot administr could leverag issu conduct sql inject attack injectncqulao qauighdplici sql code affect input success exploit may permit attack manipul sql queri execut arbitrari sql command underli databas refer event data relat event event event summari vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound occurr count event count host connect inform sourc sourc port sourc geoloc dalla usa destin destin port destin geoloc usa usa connect direction incom protocol tcp http method post host www compani full url path admin cm wysiwyg direct index devic inform devic devic name isenspl compani com log time utc action block vendor eventid cv score vendor prioriti vendor version scwx event process inform sherlock rule sle inspector event ontolog event type agent event detail vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound classif none prioriti action accept passiv impact flag impact block vlan mpl label pad sensor event time src dst sport ityp dport icod proto tcp ttl to iplen dgmlen seq ack edac win tcplen tcp option nop nop pcap http uri admin cm wysiwyg direct index http hostnam www compani secur ascii packet pcap ascii pani accept content length content type applic www form urlencod filter wdwxhcml evtmcm txt wjnbvchvsyxjpdhlbdg dptmmcg wdwxhcml evtmawvszf lehbyxt wktttrvqgqfnbtfqgpsancnano nfvcbaueftuya ienptknbvchnrduoq fukcbau fmvcasicd wzwsnkerplcbdt dqvqojzonlcbau fmvcapktttruxfq qgqevyvfjbido bwchlehryyskgrljptsbhzg pbl vyifdirvjfigv dhjhielti pvcbovuxmo lou vsvcbjtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywlsycxgdxnlcm hbwvglgbwyxnzd yzgasygnyzwf zwrglgbsb dudfrtglgbyzwxvywrfywnsx zsywdglgbpc rpdmvglgblehryywasyhjwx rva vuycxgcnbfdg rzw jlyxrlzf hdgapifzbtfvfuyaoj zpcnn bmftzscsj xhc ruyw ljywnc vjdxjpdhlabwfnzw nvbw lcmnllmnvbscsj bvbgljescsqfbbu mstk xkcksmcwwldesqevyvfjbl vtewsi pvygpkttjtlnfulqgsu utybgywrtaw fcm szwagkhbhcmvudf pzcx cmvlx xldmvslhnvcnrfb jkzxisuppli chain szv exbllhvzzxjfawqsuppli chain szv uyw lksbwquxvrvmgkdesmiwwlcdvjyw vmrunuihvzzxjfawqgrljptsbhzg pbl vyifdirvjfihvzzxjuyw lid bvbgljescplcdgaxjzdg hbwunkt direct tibg jayb exblpufkbwluahrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzdkzpbgv forward pcap ascii hex packet pcap hex pyx dac apost min cm wysiwyg direct index http host www compani accept content length content ype applic www form url ncode filter wdwxhcml evt mcm txt wjnbvchv syxjpdhlbdg dptm mcg wdwxhcml evt sid mawvszf lehbyxt wktttrvqgqfnbtfq gpsancnano nfvcb aueftuya ienptkn bvchnrduoq ukcbau fmvcasicd wzwsnkerplcb dqvqojzonlcb fmvcapktttrux qgqevyvfjbido bwchlehryysk grljptsbhzg pbl vyifdirvjfigv dhjhielti pvcb ovuxmo lou vsvcb jtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywl sycxgdxnlcm hbwv glgbwyxnzd yzga sygnyzwf zwrglgb dudfrtglgbyzwx vywrfywnsx zsywd glgbpc rpdmv glgblehryywasyhj rva vuycxgcnb fdg rzw jlyxr lzf hdgapifzbtfv fuyaoj zpcnn bmf tzscsj xhc ruyw ljywnc vjdxjpdhl abwfnzw nvbw lcmnllmnvbscsj vbgljescsqfbbu stk xkcksmcwwlde sqevyvfjbl vtew sie pvygpkttjtln fulqgsu utybgywr taw fcm szwagkhb hcmvudf pzcx cmv xldmvslhnvcnr jkzxisuppli chain szv exbllhvzzxjfawq suppli chain szv uyw lksb wquxvrvmgkdesmiw wlcdvjywou vmrun uihvzzxjfawqgrlj ptsbhzg pbl yifdirvjfihvzzxj uyw lid bvbgl jescplcdgaxjzdg hbwunkt dir ectiv tibg exblpufkbwlua hrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzd kzpbgv forw ard pcap hex event shown due space constraint take action ticket action ugyothfz ugrmkdhx,Manual,secur incid magento sql inject sourc system name whqsm refer compani com user name locat dmz sep sm statu field sale user ye dsw event log see ctoc receiv least occurr vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound cve alert isensor devic isenspl compani com traffic block sourc port tcp dalla usa destin port tcp usa usa occur indic extern host possibl sourc attempt discov public face server includ vulner magento mage adminhtml block widget grid getcsvfil sql inject vulner describ cve ticket effect serv master ticket relat alert receiv feedback handl event go forward plea let know either correspond via ticket deleg ticket back ctoc call number option avail handl futur alert one autoresolv alert directli portal explicit notif event avail report purpos portal like best choic run applic target ticket escal via medium prioriti ticket phone call uniqu sourc address alert may gener rel larg volum incid ticket full escal via high prioriti ticket phone call uniqu sourc address would recommend option sinc exploit code wild mere identifi sourc attack may use alway run report portal identifi list attack instead would recommend audit environ vulner system updat necessari complet could option suppress alert event sincer ctoc technic detail vulner exist magento due insuffici input valid within mage adminhtml block widget grid getcsvfil function remot attack could exploit vulner conduct sql inject attack vulner system magento eusa platform vulner exist magento commstorag product edit version version version version version version magento enterpris edit version prior due insuffici input valid user control suppli via popular field expr paramdntyet popular popular paramdntyet set properli sanit illeg malici content mage adminhtml block widget grid getcsvfil function prior store fieldnam variabl use sql queri remot administr could leverag issu conduct sql inject attack injectncqulao qauighdplici sql code affect input success exploit may permit attack manipul sql queri execut arbitrari sql command underli databas refer event data relat event event event summari vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound occurr count event count host connect inform sourc sourc port sourc geoloc dalla usa destin destin port destin geoloc usa usa connect direction incom protocol tcp http method post host www compani full url path admin cm wysiwyg direct index devic inform devic devic name isenspl compani com log time utc action block vendor eventid cv score vendor prioriti vendor version scwx event process inform sherlock rule sle inspector event ontolog event type agent event detail vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound classif none prioriti action accept passiv impact flag impact block vlan mpl label pad sensor event time src dst sport ityp dport icod proto tcp ttl to iplen dgmlen seq ack edac win tcplen tcp option nop nop pcap http uri admin cm wysiwyg direct index http hostnam www compani secur ascii packet pcap ascii pani accept content length content type applic www form urlencod filter wdwxhcml evtmcm txt wjnbvchvsyxjpdhlbdg dptmmcg wdwxhcml evtmawvszf lehbyxt wktttrvqgqfnbtfqgpsancnano nfvcbaueftuya ienptknbvchnrduoq fukcbau fmvcasicd wzwsnkerplcbdt dqvqojzonlcbau fmvcapktttruxfq qgqevyvfjbido bwchlehryyskgrljptsbhzg pbl vyifdirvjfigv dhjhielti pvcbovuxmo lou vsvcbjtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywlsycxgdxnlcm hbwvglgbwyxnzd yzgasygnyzwf zwrglgbsb dudfrtglgbyzwxvywrfywnsx zsywdglgbpc rpdmvglgblehryywasyhjwx rva vuycxgcnbfdg rzw jlyxrlzf hdgapifzbtfvfuyaoj zpcnn bmftzscsj xhc ruyw ljywnc vjdxjpdhlabwfnzw nvbw lcmnllmnvbscsj bvbgljescsqfbbu mstk xkcksmcwwldesqevyvfjbl vtewsi pvygpkttjtlnfulqgsu utybgywrtaw fcm szwagkhbhcmvudf pzcx cmvlx xldmvslhnvcnrfb jkzxisuppli chain szv exbllhvzzxjfawqsuppli chain szv uyw lksbwquxvrvmgkdesmiwwlcdvjyw vmrunuihvzzxjfawqgrljptsbhzg pbl vyifdirvjfihvzzxjuyw lid bvbgljescplcdgaxjzdg hbwunkt direct tibg jayb exblpufkbwluahrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzdkzpbgv forward pcap ascii hex packet pcap hex pyx dac apost min cm wysiwyg direct index http host www compani accept content length content ype applic www form url ncode filter wdwxhcml evt mcm txt wjnbvchv syxjpdhlbdg dptm mcg wdwxhcml evt sid mawvszf lehbyxt wktttrvqgqfnbtfq gpsancnano nfvcb aueftuya ienptkn bvchnrduoq ukcbau fmvcasicd wzwsnkerplcb dqvqojzonlcb fmvcapktttrux qgqevyvfjbido bwchlehryysk grljptsbhzg pbl vyifdirvjfigv dhjhielti pvcb ovuxmo lou vsvcb jtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywl sycxgdxnlcm hbwv glgbwyxnzd yzga sygnyzwf zwrglgb dudfrtglgbyzwx vywrfywnsx zsywd glgbpc rpdmv glgblehryywasyhj rva vuycxgcnb fdg rzw jlyxr lzf hdgapifzbtfv fuyaoj zpcnn bmf tzscsj xhc ruyw ljywnc vjdxjpdhl abwfnzw nvbw lcmnllmnvbscsj vbgljescsqfbbu stk xkcksmcwwlde sqevyvfjbl vtew sie pvygpkttjtln fulqgsu utybgywr taw fcm szwagkhb hcmvudf pzcx cmv xldmvslhnvcnr jkzxisuppli chain szv exbllhvzzxjfawq suppli chain szv uyw lksb wquxvrvmgkdesmiw wlcdvjywou vmrun uihvzzxjfawqgrlj ptsbhzg pbl yifdirvjfihvzzxj uyw lid bvbgl jescplcdgaxjzdg hbwunkt dir ectiv tibg exblpufkbwlua hrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzd kzpbgv forw ard pcap hex event shown due space constraint take action ticket action ugyothfz ugrmkdhx,secur incid magento sql inject sourc system name whqsm refer compani com user name locat dmz sep sm statu field sale user ye dsw event log see ctoc receiv least occurr vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound cve alert isensor devic isenspl compani com traffic block sourc port tcp dalla usa destin port tcp usa usa occur indic extern host possibl sourc attempt discov public face server includ vulner magento mage adminhtml block widget grid getcsvfil sql inject vulner describ cve ticket effect serv master ticket relat alert receiv feedback handl event go forward plea let know either correspond via ticket deleg ticket back ctoc call number option avail handl futur alert one autoresolv alert directli portal explicit notif event avail report purpos portal like best choic run applic target ticket escal via medium prioriti ticket phone call uniqu sourc address alert may gener rel larg volum incid ticket full escal via high prioriti ticket phone call uniqu sourc address would recommend option sinc exploit code wild mere identifi sourc attack may use alway run report portal identifi list attack instead would recommend audit environ vulner system updat necessari complet could option suppress alert event sincer ctoc technic detail vulner exist magento due insuffici input valid within mage adminhtml block widget grid getcsvfil function remot attack could exploit vulner conduct sql inject attack vulner system magento eusa platform vulner exist magento commstorag product edit version version version version version version magento enterpris edit version prior due insuffici input valid user control suppli via popular field expr paramdntyet popular popular paramdntyet set properli sanit illeg malici content mage adminhtml block widget grid getcsvfil function prior store fieldnam variabl use sql queri remot administr could leverag issu conduct sql inject attack injectncqulao qauighdplici sql code affect input success exploit may permit attack manipul sql queri execut arbitrari sql command underli databas refer event data relat event event event summari vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound occurr count event count host connect inform sourc sourc port sourc geoloc dalla usa destin destin port destin geoloc usa usa connect direction incom protocol tcp http method post host www compani full url path admin cm wysiwyg direct index devic inform devic devic name isenspl compani com log time utc action block vendor eventid cv score vendor prioriti vendor version scwx event process inform sherlock rule sle inspector event ontolog event type agent event detail vid possibl magento mage adminhtml block widget gridgetcsvfil sql inject attempt inbound classif none prioriti action accept passiv impact flag impact block vlan mpl label pad sensor event time src dst sport ityp dport icod proto tcp ttl to iplen dgmlen seq ack edac win tcplen tcp option nop nop pcap http uri admin cm wysiwyg direct index http hostnam www compani secur ascii packet pcap ascii pani accept content length content type applic www form urlencod filter wdwxhcml evtmcm txt wjnbvchvsyxjpdhlbdg dptmmcg wdwxhcml evtmawvszf lehbyxt wktttrvqgqfnbtfqgpsancnano nfvcbaueftuya ienptknbvchnrduoq fukcbau fmvcasicd wzwsnkerplcbdt dqvqojzonlcbau fmvcapktttruxfq qgqevyvfjbido bwchlehryyskgrljptsbhzg pbl vyifdirvjfigv dhjhielti pvcbovuxmo lou vsvcbjtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywlsycxgdxnlcm hbwvglgbwyxnzd yzgasygnyzwf zwrglgbsb dudfrtglgbyzwxvywrfywnsx zsywdglgbpc rpdmvglgblehryywasyhjwx rva vuycxgcnbfdg rzw jlyxrlzf hdgapifzbtfvfuyaoj zpcnn bmftzscsj xhc ruyw ljywnc vjdxjpdhlabwfnzw nvbw lcmnllmnvbscsj bvbgljescsqfbbu mstk xkcksmcwwldesqevyvfjbl vtewsi pvygpkttjtlnfulqgsu utybgywrtaw fcm szwagkhbhcmvudf pzcx cmvlx xldmvslhnvcnrfb jkzxisuppli chain szv exbllhvzzxjfawqsuppli chain szv uyw lksbwquxvrvmgkdesmiwwlcdvjyw vmrunuihvzzxjfawqgrljptsbhzg pbl vyifdirvjfihvzzxjuyw lid bvbgljescplcdgaxjzdg hbwunkt direct tibg jayb exblpufkbwluahrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzdkzpbgv forward pcap ascii hex packet pcap hex pyx dac apost min cm wysiwyg direct index http host www compani accept content length content ype applic www form url ncode filter wdwxhcml evt mcm txt wjnbvchv syxjpdhlbdg dptm mcg wdwxhcml evt sid mawvszf lehbyxt wktttrvqgqfnbtfq gpsancnano nfvcb aueftuya ienptkn bvchnrduoq ukcbau fmvcasicd wzwsnkerplcb dqvqojzonlcb fmvcapktttrux qgqevyvfjbido bwchlehryysk grljptsbhzg pbl vyifdirvjfigv dhjhielti pvcb ovuxmo lou vsvcb jtlrpigbhzg pbl vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywl sycxgdxnlcm hbwv glgbwyxnzd yzga sygnyzwf zwrglgb dudfrtglgbyzwx vywrfywnsx zsywd glgbpc rpdmv glgblehryywasyhj rva vuycxgcnb fdg rzw jlyxr lzf hdgapifzbtfv fuyaoj zpcnn bmf tzscsj xhc ruyw ljywnc vjdxjpdhl abwfnzw nvbw lcmnllmnvbscsj vbgljescsqfbbu stk xkcksmcwwlde sqevyvfjbl vtew sie pvygpkttjtln fulqgsu utybgywr taw fcm szwagkhb hcmvudf pzcx cmv xldmvslhnvcnr jkzxisuppli chain szv exbllhvzzxjfawq suppli chain szv uyw lksb wquxvrvmgkdesmiw wlcdvjywou vmrun uihvzzxjfawqgrlj ptsbhzg pbl yifdirvjfihvzzxj uyw lid bvbgl jescplcdgaxjzdg hbwunkt dir ectiv tibg exblpufkbwlua hrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzd kzpbgv forw ard pcap hex event shown due space constraint take action ticket action ugyothfz ugrmkdhx
4088,post rma receiv dear team pl help check issu return post due bath issu key anyth batch blank pl help handl thx lot cid imag png sid cid imag jpg sid rgd judthtihti zhuyht compani hardpoint apac wgq wktesmbp lorjymef,GRP_18,post rma receiv dear team pl help check issu return post due bath issu key anyth batch blank pl help handl thx lot cid imag png sid cid imag jpg sid rgd judthtihti zhuyht compani hardpoint apac wgq wktesmbp lorjymef,post rma receiv dear team pl help check issu return post due bath issu key anyth batch blank pl help handl thx lot cid imag png sid cid imag jpg sid rgd judthtihti zhuyht compani hardpoint apac wgq wktesmbp lorjymef
